NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
276549;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;533.5;616.6;586.7;768.8;EDEADEDACEEBCBDBCCABECDEBDDCBACEECAEBEDDEDDCB;ABCABCBEDBDDDEBBBBCDCABCEDDCDBEAEEADBEDADACDC;CAABDECBECCDDEBDEDAEBBCDCBDEEDDBDBDACBABADEEB;CEEBBEEACDABDEDDBBCEBDCCCADBBBABEACDDBBADBBCD;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;160;180;180;200;200;920
1739496;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;491.3;560.2;566.4;381.5;BDCACBABECBEEBAABBBECEEACDCBBDDEBCCADDDCCCACD;BEEABCDEEABDAEBBCBEEDCDADBEADEEEBABEEEBAECEEA;DDAECCADECBBDDDEBDAAAABEDACBBDBDEDCCBAEECCBDC;BCDCCCAEBEBBABDECABBDDEACBDDACEBCDCADECDCBDEB;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;120;120;120;120;600
1339650;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;503.6;318.8;512.8;570.1;CDBAEADBDAAEEBABCDDDBAEACAEBCE*EABCACEABDDCAB;CACEDDBCABADBCEBECBEDEBACBAEBCAEEBDABDCAECDEC;BDCDBCDCCAEECBBDDACBEDDECBCECDBBCDBDAEACDADCD;DABACEDBDBBCECBAAACEECBACDCADACDAEADDEBCABDBC;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;140;120;120;20;540
3140894;2024;;;;;;;;;1500602;Altamira;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
203064;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;495.6;366.1;481.6;423.1;BADADECCBDCAEAACEDBCCBAAEDEBCABAABEDECABDAEDC;ABBDCABEDCEADBBCEBBDCAEBDCA.EDBADCEBADCBEAADD;EEDDBBDCECEEADAECEEBACEEBADBCEBCBACDADEBCADCB;DEDBACBEADCBEBBCBAEEDBCADBECCAAEECBDACBEDACDB;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;8;0;0;0;0;0;0
2985298;2024;;;;;;;;;1500602;Altamira;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
1214567;2024;15105016;1508357;Vitória do Xingu;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;486.1;538.6;506.2;451.4;EDADCCDECCABBDBEDEDBCBDDCDBDBEEBBBCDDADDEDDAB;AECACCBDDCBDCEBEEACDABECECEDEAEABEDDBBDDBBDDE;ACAEAECCEAABEBAEECCCEDDDBBDDDEBADADBEBEEADDEB;DACBDDDCBDDEDBCEABBECACEDEDDCCECBCCDB*CEDCBAA;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;120;80;160;120;600
646507;2024;;;;;;;;;1500602;Altamira;15;PA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
2497645;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;530.6;533.4;516.3;511.2;ACBDDABBABAEBDDDBCBCAEDDCBCDBDAAEBBAAAAECEBEA;AABCCDCCEEACCEBDBBADCEAEDBDEBACDABBBEDEBDEBCA;ADCCDCBEDDBCEADBEDDDCCAABAECBDDDCBDEDCDDBAECD;CDACDCACDCABCBDABCBCBCACBDCCCBCEDBDDECBCCBDED;0;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;140;160;120;120;100;640
13561;2024;15106250;1501725;Brasil Novo;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1420;1383;1395;1408;483.7;605.4;503.8;570.8;EDABCECEEEAABACEBDDBAAADCDDDBCEEADBCDEBECCEAA;CECABEAEDDADDEABABDDBAECEDABBAEAEBADEEDBDEDBE;CAACAECDECADEABAEEBAEBDDEBDDBACCDEDDCCBCADCDA;CECBCCCDACABCBCBCECEBBBBDBDDCDABEBDEDAEEACCED;1;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;180;140;160;180;780
1907115;2024;15104907;1500602;Altamira;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;425.1;366.9;436.1;464.7;ADCBDECCADBECEBDEAACDCBBEAEADBCDABDDAAAECABEC;CAEBDCAEEDABECCBBBDAECDDBCEADDADBCCEABECBAAAD;CAACECDCBBAEABADCACBAECEDCDEACDEBBCADCCADBABA;DBBEBAECDCEBACBAEBCBDDEBACDCEDACBEBACEBDBCDDA;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;160;120;140;80;620
16668;2024;15200205;1500602;Altamira;15;PA;1;1;1;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;456.7;451.5;464.5;458.7;BDDEDBADEBCCBBEAEABCCABCEAABEDDEECBAEBCDBBEDB;CBBACBAAEACCECADEBDEDAABDACDEECDACBABADBAEACD;BACDADABEBEEEDDADAEADCCEABBADBCBDACDDDDBEBBCA;BAEDDADCDDCDECDCECCDCBCBACBECBBCDECDEAECBDABC;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;180;140;140;160;760
1941403;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;521.2;617.3;590.1;666.5;DCBCBBDABCDEDEDCBECEDCACABDBEADEACADDBDDADECD;DBDCBCDCECBDEBBBEAEBECDECBEADEEAEAEEEEDAECEDA;AACCADADECCEEDEEBCEBDCBEDDAADCADEBCEBBEECACDA;BABECBADEABCBCBAEEBBECCCEADCDBBCDBCAADACBBEDD;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;200;160;200;180;900
3141811;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;486.4;509.7;525.1;414;DBACEEADCCDEBAAEBEAADDEACCDBCEBBEABCEEBCCEDEB;ACCCADEDDAAEDEDAEDDBBEACBBDCEBDBDEABEAAADDDAA;DDBCDADCBBDDEBDDBDBBBDADDACDBBCDCBDEADEECBEDC;AAEDEABADDDBCBBBEE*EDCCAADDDCCDEDDCBCBCCDDEDE;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;80;120;40;60;80;380
3138192;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1422;1384;1396;1410;387.7;342.5;320.2;427.5;DDAECAADEABBADCEADEACDDDCBADCBBDAEBABBDEADBEA;DAECAECBBACABEECAADEDEDDDAEDBCADADCEBEADABCEA;BDBDACAAEEDACAEACAEEACDAEBE.CACEDAEABBEDADADA;CDDACCDBAEAEBEBACEB*ACADEBDEABCADAEBDCAADDBEC;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;4;0;0;0;0;0;0
2298684;2024;;;;;;;;;1500602;Altamira;15;PA;1;1;1;1;1419;1385;1398;1407;453.3;382.4;348.8;500;CDEBBDADCDBEBCEDBCBABDDABCEADADACACDAECBCDADA;ADDADCAAAADEECABEEEEEDAACAEEADDECDCDACAADAEAD;EBEACBBCDACBEECDBDDABBCAABEAEEAAACCCDEACBEBCD;ABAAABBBBCBABBABAB*BDBACADDCCBAAABABAAABAEDAB;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;80;120;80;100;0;380
2544396;2024;15106250;1501725;Brasil Novo;15;PA;2;1;1;1500602;Altamira;15;PA;1;1;1;1;1421;1386;1397;1409;390.4;321.9;446.1;428.6;DACEECDBBCDBCAACACAABEDBCBCCECACDECCDBCADDAAC;BCDECCBACEBADBCCCAADCDACACBDBBBDEABAEBABEDAAA;DCCBDDCBDBDCCADADDDBECACBCECEACBDDBBBDABADECC;BDECDCDDACDBDDDCEBBCCCBDADAEBDBDDDBCCEBDECACC;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;80;120;100;100;120;520
3871908;2024;15107035;1504455;Medicilândia;15;PA;2;1;1;1500602;Altamira;15;PA;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
